,American Athletic Conference,ACC,Big Ten Conference,Big 12,Big 8 Conference,Big East Conference,Border Conference,Conference USA,Ivy League,Mid-American Conference,Missouri Valley Conference,Mountain West Conference,Pac-12 Conference,Pacific Coast Conference,Sun Belt Conference,SEC,Skyline Conference,Southwest Conference,Western Athletic Conference,A-10,ASUN,Southern States Conference,Big 4 Conference,,Big Sky,Big South,Big West,CAA,CCAA,Carolinas Conference,Dixie,Gulf Coast Conference,Mid-South Conference,Gulf Star Conference,Indiana Collegiate Conference,Indiana IAA,IIAC,Kansas Collegiate Athletic Conference,Kentucky IAC,Lone Star,Mid-Continent (MCC),Michigan IAA,Maryland IFA,Middle Atlantic,Far Western,Ohio Athletic,Ohio Valley (OVC),Presidents Athletic Conf (PAC),Rocky Mountain Athletic,South Atlantic Intercollegiate Athletic,Southern California Intercollegiate Athletic,Southland,Texas Intercollegiate Athletic,Western Interstate University Football Association,West Virginia Intercollegiate Athletic,Yankee,PROTO-Ivy League
1898,[],[],"['Illinois', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],[],[],[],[],"['Albion', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],[],[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
1899,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],[],[],[],[],"['Albion', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],[],[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
1900,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],[],[],[],[],"['Albion', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],[],[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
1901,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],[],[],[],[],"['Albion', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],[],[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
1902,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],['Kansas State'],[],[],[],"['Albion', 'Alma', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],"['Case Institute of Technology', 'Kenyon', 'Oberlin', 'Ohio State', 'Western Reserve', 'Ohio Wesleyan']",[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
1903,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],['Kansas State'],[],[],[],"['Albion', 'Alma', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],"['Case Institute of Technology', 'Kenyon', 'Oberlin', 'Ohio State', 'Western Reserve', 'Ohio Wesleyan']",[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
1904,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],['Kansas State'],[],[],[],"['Albion', 'Alma', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],"['Case Institute of Technology', 'Kenyon', 'Oberlin', 'Ohio State', 'Western Reserve', 'Ohio Wesleyan']",[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
1905,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],['Kansas State'],[],[],[],"['Albion', 'Alma', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],"['Case Institute of Technology', 'Kenyon', 'Oberlin', 'Ohio State', 'Western Reserve', 'Ohio Wesleyan']",[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
1906,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],['Kansas State'],[],[],[],"['Albion', 'Alma', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],"['Case Institute of Technology', 'Kenyon', 'Oberlin', 'Ohio State', 'Western Reserve', 'Ohio Wesleyan']",[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
1907,[],[],"['Indiana', 'Illinois', 'Iowa', 'Minnesota', 'Northwestern', 'Purdue', 'Wisconsin', 'Michigan']",[],"['Kansas', 'Missouri', 'Nebraska', 'Iowa', 'Washington  in St. Louis']",[],[],[],[],[],"['Iowa State', 'Iowa', 'Kansas', 'Missouri', 'Nebraska', 'Washington  in St. Louis']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Butler', 'DePauw', 'Franklin', 'Hanover', 'Indiana', 'Purdue', 'Wabash', 'Rose Polytechnic Institute']",[],['Kansas State'],[],[],[],"['Albion', 'Alma', 'Kalamazoo', 'Hillsdale', 'Michigan State', 'Olivet', 'Eastern Michigan']","['Baltimore City', 'Johns Hopkins', 'Maryland,  Park', 'Washington']",[],[],"['Heidelberg', 'Case Institute of Technology', 'Kenyon', 'Oberlin', 'Ohio State', 'Western Reserve', 'The  Wooster', 'Denison', 'Ohio Wesleyan']",[],[],[],[],[],[],[],"['Kansas', 'Nebraska', 'Missouri', 'Iowa']",[],[],[]
