full_name,division,subdivision,conference_id,conference_name,reclass_year,reclass_division,reclass_subdivision,private,historically_black,region,state,simple_name
University of Mississippi,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,MS,Mississippi
Mississippi State University,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,MS,Mississippi State
"University of Missouri, Columbia",1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,MO,Missouri
"University of Nebraska, Lincoln",1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,NE,Nebraska
"University of Nevada, Las Vegas",1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,NV,Nevada Las Vegas
"University of Nevada, Reno",1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,NV,Nevada
University of New Mexico,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,NM,New Mexico
New Mexico State University,1,FBS,24312,Conference USA,,,,N,N,Unassigned,NM,New Mexico State
North Carolina State University,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,NC,North Carolina State
"University of North Carolina, Chapel Hill",1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,NC,North Carolina
The University of North Carolina at Charlotte,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,NC,Charlotte
University of North Texas,1,FBS,823,American Athletic Conference,,,,N,N,West Region,TX,North Texas
Northern Illinois University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,IL,Northern Illinois
Northwestern University,1,FBS,827,Big Ten Conference,,,,Y,N,Unassigned,IL,Northwestern
University of Notre Dame,1,FBS,0,Independent,,,,Y,N,Unassigned,IN,Notre Dame
The Ohio State University,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,OH,Ohio State
Ohio University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,OH,Ohio
University of Oklahoma,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,OK,Oklahoma
Oklahoma State University,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,OK,Oklahoma State
Old Dominion University,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,VA,Old Dominion
University of Oregon,1,FBS,905,Pac-12 Conference,,,,N,N,West Region,OR,Oregon
Oregon State University,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,OR,Oregon State
Pennsylvania State University,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,PA,Penn State
University of Pittsburgh,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,PA,Pittsburgh
Purdue University,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,IN,Purdue
Rice University,1,FBS,823,American Athletic Conference,,,,Y,N,Unassigned,TX,Rice
"Rutgers, The State University of New Jersey, New Brunswick",1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,NJ,Rutgers
Sam Houston State University,1,FBS,24312,Conference USA,,,,N,N,South Region,TX,Sam Houston
San Diego State University,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,CA,San Diego State
San Jose State University,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,CA,San Jose State
University of South Alabama,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,AL,South Alabama
"University of South Carolina, Columbia",1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,SC,South Carolina
University of South Florida,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,FL,South Florida
University of Southern California,1,FBS,905,Pac-12 Conference,,,,Y,N,Unassigned,CA,Southern California
Southern Methodist University,1,FBS,823,American Athletic Conference,,,,Y,N,Unassigned,TX,Southern Methodist
The University of Southern Mississippi,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,MS,Southern Mississippi
Stanford University,1,FBS,905,Pac-12 Conference,,,,Y,N,Unassigned,CA,Stanford
Syracuse University,1,FBS,821,Atlantic Coast Conference,,,,Y,N,Unassigned,NY,Syracuse
Temple University,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,PA,Temple
"University of Tennessee, Knoxville",1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,TN,Tennessee
"Texas A&M University, College Station",1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,TX,Texas A&M
Texas Christian University,1,FBS,25354,Big 12 Conference,,,,Y,N,Unassigned,TX,Texas Christian
Texas State University,1,FBS,818,Sun Belt Conference,,,,N,N,West Region,TX,Texas State
Texas Tech University,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,TX,Texas Tech
University of Texas at Austin,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,TX,Texas
University of Texas at El Paso,1,FBS,24312,Conference USA,,,,N,N,Unassigned,TX,Texas-El Paso
University of Texas at San Antonio,1,FBS,823,American Athletic Conference,,,,N,N,West Region,TX,Texas-San Antonio
University of Toledo,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,OH,Toledo
Troy University,1,FBS,818,Sun Belt Conference,,,,N,N,West Region,AL,Troy
Tulane University,1,FBS,823,American Athletic Conference,,,,Y,N,Unassigned,LA,Tulane
The University of Tulsa,1,FBS,823,American Athletic Conference,,,,Y,N,Unassigned,OK,Tulsa
U.S. Air Force Academy,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,CO,Air Force
U.S. Military Academy,1,FBS,0,Independent,,,,N,N,Unassigned,NY,Army
U.S. Naval Academy,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,MD,Navy
University of Utah,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,UT,Utah
Utah State University,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,UT,Utah State
Vanderbilt University,1,FBS,911,Southeastern Conference,,,,Y,N,Unassigned,TN,Vanderbilt
University of Virginia,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,VA,Virginia
Virginia Polytechnic Institute and State University,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,VA,Virginia Tech
Wake Forest University,1,FBS,821,Atlantic Coast Conference,,,,Y,N,Unassigned,NC,Wake Forest
University of Washington,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,WA,Washington
Washington State University,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,WA,Washington State
West Virginia University,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,WV,West Virginia
Western Kentucky University,1,FBS,24312,Conference USA,,,,N,N,Central Region,KY,Western Kentucky
Western Michigan University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,MI,Western Michigan
University of Wisconsin-Madison,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,WI,Wisconsin
University of Wyoming,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,WY,Wyoming
