full_name,division,subdivision,conference_id,conference_name,reclass_year,reclass_division,reclass_subdivision,private,historically_black,region,state,simple_name,Latitude,Longitude
Sacred Heart University,1,FCS,846,Northeast Conference,,,,Y,N,EAST REGION,CT,Sacred Heart,41.220562,-73.24239469999999
Samford University,1,FCS,912,Southern Conference,,,,Y,N,SOUTH REGION,AL,Samford,33.4649218,-86.7913423
University of San Diego,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,CA,San Diego,32.7721681,-117.1888625
South Carolina State University,1,FCS,876,Mid-Eastern Athletic Conf.,,,,N,Y,SOUTH REGION,SC,South Carolina State,33.4981687,-80.8492832
University of South Dakota,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,SD,South Dakota,42.7883015,-96.92533809999999
South Dakota State University,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,SD,South Dakota State,44.3191071,-96.78351819999999
Southeast Missouri State University,1,FCS,902,Ohio Valley Conference,,,,N,N,CENTRAL REGION,MO,Southeast Missouri State,37.3148783,-89.52804379999999
Southeastern Louisiana University,1,FCS,914,Southland Conference,,,,N,N,WEST REGION,LA,Southeastern Louisiana,30.5178932,-90.4710715
Southern Illinois University at Carbondale,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,IL,Southern Illinois,37.7079717,-89.2229983
"Southern University, Baton Rouge",1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,LA,Southern  Baton Rouge,30.5265222,-91.1929407
Southern Utah University,1,FCS,920,ASUN Conference,,,,N,N,SOUTH REGION,UT,Southern Utah,37.6764461,-113.0713001
Saint Francis University (Pennsylvania),1,FCS,846,Northeast Conference,,,,Y,N,EAST REGION,PA,St. Francis (Pennsylvania),40.50382,-78.6376191
University of St. Thomas (Minnesota),1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,MN,St. Thomas (Minnesota),44.943096,-93.1897082
Stephen F. Austin State University,1,FCS,920,ASUN Conference,,,,N,N,SOUTH REGION,TX,Stephen F. Austin,31.6216141,-94.64664379999999
Stetson University,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,FL,Stetson,29.0335139,-81.3009245
Stonehill College,1,FCS,846,Northeast Conference,,,,Y,N,EAST REGION,MA,Stonehill,42.05810530000001,-71.08091300000001
Stony Brook University,1,FCS,837,Coastal Athletic Association,,,,N,N,EAST REGION,NY,Stony Brook,40.908119,-73.1204032
Tarleton State University,1,FCS,920,ASUN Conference,1.0,1.0,2.0,N,N,SOUTH REGION,TX,Tarleton State,32.2160433,-98.215953
Tennessee State University,1,FCS,902,Ohio Valley Conference,,,,N,Y,CENTRAL REGION,TN,Tennessee State,36.1683703,-86.8258566
Tennessee Technological University,1,FCS,902,Ohio Valley Conference,,,,N,N,CENTRAL REGION,TN,Tennessee Tech,36.1763138,-85.50910859999999
University of Tennessee at Chattanooga,1,FCS,912,Southern Conference,,,,N,N,SOUTH REGION,TN,Tennessee-Chattanooga,35.0458509,-85.2953072
University of Tennessee at Martin,1,FCS,902,Ohio Valley Conference,,,,N,N,CENTRAL REGION,TN,Tennessee-Martin,36.3429724,-88.86433319999999
Texas A&M University-Commerce,1,FCS,914,Southland Conference,,,,N,N,WEST REGION,TX,Texas A&M-Commerce,33.2406645,-95.91041489999999
Texas Southern University,1,FCS,916,Southwestern Athletic Conf.,,,,N,Y,SOUTH REGION,TX,Texas Southern,29.7214214,-95.35926909999999
Towson University,1,FCS,837,Coastal Athletic Association,,,,N,N,EAST REGION,MD,Towson,39.3925121,-76.61263919999999
Utah Tech University,1,FCS,920,ASUN Conference,,,,N,N,SOUTH REGION,UT,Utah Tech,37.1028746,-113.56541
Valparaiso University,1,FCS,21451,Pioneer Football League,,,,Y,N,CENTRAL REGION,IN,Valparaiso,41.4639394,-87.04388929999999
Villanova University,1,FCS,837,Coastal Athletic Association,,,,Y,N,EAST REGION,PA,Villanova,40.0368926,-75.3425785
Virginia Military Institute,1,FCS,912,Southern Conference,,,,N,N,SOUTH REGION,VA,Virginia Military Institute,37.7909313,-79.4351978
Wagner College,1,FCS,846,Northeast Conference,,,,Y,N,EAST REGION,NY,Wagner,40.6149557,-74.09438229999999
Weber State University,1,FCS,825,Big Sky Conference,,,,N,N,WEST REGION,UT,Weber State,41.1913021,-111.9440252
Western Carolina University,1,FCS,912,Southern Conference,,,,N,N,SOUTH REGION,NC,Western Carolina,35.3090108,-83.1863612
Western Illinois University,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,IL,Western Illinois,40.4704755,-90.6858225
William & Mary,1,FCS,837,Coastal Athletic Association,,,,N,N,EAST REGION,VA,William & Mary,37.2709753,-76.7162467
Wofford College,1,FCS,912,Southern Conference,,,,Y,N,SOUTH REGION,SC,Wofford,34.9590202,-81.9351358
Yale University,1,FCS,865,The Ivy League,,,,Y,N,EAST REGION,CT,Yale,41.3163244,-72.92234309999999
Youngstown State University,1,FCS,853,Missouri Valley Football Conference,,,,N,N,CENTRAL REGION,OH,Youngstown State,41.1066413,-80.6480952
University of Akron,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,OH,Akron,41.0753688,-81.5123424
University of Alabama,1,FBS,911,Southeastern Conference,,,,N,N,Unassigned,AL,Alabama,33.2114385,-87.5401002
University of Alabama at Birmingham,1,FBS,823,American Athletic Conference,,,,N,N,Unassigned,AL,Alabama-Birmingham,33.5020323,-86.80574949999999
Appalachian State University,1,FBS,818,Sun Belt Conference,,,,N,N,Unassigned,NC,Appalachian State,36.21356280000001,-81.68432179999999
University of Arizona,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,AZ,Arizona,32.2318851,-110.9501094
