full_name,division,subdivision,conference_id,conference_name,reclass_year,reclass_division,reclass_subdivision,private,historically_black,region,state,simple_name,Latitude,Longitude
Vanderbilt University,1,FBS,911,Southeastern Conference,,,,Y,N,Unassigned,TN,Vanderbilt,36.1447034,-86.8026551
University of Virginia,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,VA,Virginia,38.0335529,-78.5079772
Virginia Polytechnic Institute and State University,1,FBS,821,Atlantic Coast Conference,,,,N,N,Unassigned,VA,Virginia Tech,37.22838429999999,-80.42341669999999
Wake Forest University,1,FBS,821,Atlantic Coast Conference,,,,Y,N,Unassigned,NC,Wake Forest,36.1354887,-80.2792887
University of Washington,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,WA,Washington,47.65464069999999,-122.3074579
Washington State University,1,FBS,905,Pac-12 Conference,,,,N,N,Unassigned,WA,Washington State,46.7298283,-117.1745403
West Virginia University,1,FBS,25354,Big 12 Conference,,,,N,N,Unassigned,WV,West Virginia,39.6480359,-79.9697147
Western Kentucky University,1,FBS,24312,Conference USA,,,,N,N,Central Region,KY,Western Kentucky,36.9847167,-86.456
Western Michigan University,1,FBS,875,Mid-American Conference,,,,N,N,Unassigned,MI,Western Michigan,42.2837337,-85.6102506
University of Wisconsin-Madison,1,FBS,827,Big Ten Conference,,,,N,N,Unassigned,WI,Wisconsin,43.076592,-89.4124875
University of Wyoming,1,FBS,5486,Mountain West Conference,,,,N,N,Unassigned,WY,Wyoming,41.3148754,-105.5665744
