Institution,Nickname,Location,Founded,Joined,Left,Enrollment,Conference
University of North Texas,Mean Green,"Denton, Texas",1890,1982,1996,,Southland
Oral Roberts University,Golden Eagles,"Tulsa, Oklahoma",1963,2012,2014,,Southland
University of Southwestern Louisiana,Ragin' Cajuns,"Lafayette, Louisiana",1898,1971,1982,,Southland
Sam Houston State University,Bearkats,"Huntsville, Texas",1879,1987,2021,,Southland
Stephen F. Austin State University,Lumberjacks/Ladyjacks,"Nacogdoches, Texas",1923,1987,2021,,Southland
Texas State University,Bobcats,"San Marcos, Texas",1899,1987,2012,,Southland
University of Texas at Arlington,Mavericks,"Arlington, Texas",1895,1963,2012,,Southland
University of Texas at San Antonio,Roadrunners,"San Antonio, Texas",1969,1991,2012,,Southland
Trinity University,Tigers,"San Antonio, Texas",1869,1963,1972,,Southland
Lamar University,Cardinals,"Beaumont, Texas",1923,1963,1987,15000,Southland
Lamar University,Cardinals,"Beaumont, Texas",1923,1999,2021,15000,Southland
Lamar University,Cardinals,"Beaumont, Texas",1923,2022,,15000,Southland
Abilene Christian University,Wildcats,"Abilene, Texas",1906,1963,1973,5000,Southland
Abilene Christian University,Wildcats,"Abilene, Texas",1906,2013,2021,5000,Southland
Austin College,Kangaroos,"Sherman, Texas",1849,1909,1925,1300,Texas Intercollegiate Athletic
Texas Christian University,Horned Frogs,"Fort Worth, Texas",1873,1909,1923,11000,Texas Intercollegiate Athletic
University of Texas,Longhorns,"Austin, Texas",1883,1909,1914,51000,Texas Intercollegiate Athletic
Texas A&M University,Aggies,"College Station, Texas",1876,1909,1914,69000,Texas Intercollegiate Athletic
Baylor University,Bears,"Waco, Texas",1845,1909,1914,17000,Texas Intercollegiate Athletic
Trinity University,Tigers,"San Antonio, Texas",1869,1909,1925,2500,Texas Intercollegiate Athletic
Rice University,Owls,"Houston, Texas",1912,1909,1924,7000,Texas Intercollegiate Athletic
University of Texas at El Paso,Miners,"El Paso, Texas",1914,1914,1925,25000,Texas Intercollegiate Athletic
Texas Tech University,Red Raiders,"Lubbock, Texas",1923,1925,1925,40000,Texas Intercollegiate Athletic
Southwestern University,Pirates,"Georgetown, Texas",1840,1909,1914,1500,Texas Intercollegiate Athletic
Sul Ross State University,Lobos,"Alpine, Texas",1917,1930,1932,2000,Texas Intercollegiate Athletic
West Texas A&M University,Buffaloes,"Canyon, Texas",1910,1930,1932,10000,Texas Intercollegiate Athletic
Texas A&M University–Commerce,Lions,"Commerce, Texas",1889,1930,1932,12000,Texas Intercollegiate Athletic
University of North Texas,Mean Green,"Denton, Texas",1890,1930,1932,40000,Texas Intercollegiate Athletic
Sam Houston State University,Bearkats,"Huntsville, Texas",1879,1930,1932,21000,Texas Intercollegiate Athletic
Stephen F. Austin State University,Lumberjacks,"Nacogdoches, Texas",1923,1930,1932,13000,Texas Intercollegiate Athletic
Texas State University,Bobcats,"San Marcos, Texas",1899,1930,1932,38000,Texas Intercollegiate Athletic
University of Kansas,Jayhawks,"Lawrence, Kansas",1865,1892,1897,28000,Western Interstate University Football Association
University of Nebraska,Cornhuskers,"Lincoln, Nebraska",1869,1892,1897,26000,Western Interstate University Football Association
University of Missouri,Tigers,"Columbia, Missouri",1839,1892,1897,30000,Western Interstate University Football Association
University of Iowa,Hawkeyes,"Iowa City, Iowa",1847,1892,1897,32000,Western Interstate University Football Association
Alderson College,,"Alderson, West Virginia",1901,1924,1932,,West Virginia Intercollegiate Athletic
Broaddus College,,"Philippi, West Virginia",1871,1924,1932,,West Virginia Intercollegiate Athletic
West Virginia University,,"Morgantown, West Virginia",1867,1924,1927,,West Virginia Intercollegiate Athletic
Morehead State University,,"Morehead, Kentucky",1887,1929,1933,,West Virginia Intercollegiate Athletic
Mountain State University,,"Beckley, West Virginia",1933,1946,1977,,West Virginia Intercollegiate Athletic
Marshall University,,"Huntington, West Virginia",1837,1924,1948,,West Virginia Intercollegiate Athletic
Bethany College,,"Bethany, West Virginia",1840,1924,1962,,West Virginia Intercollegiate Athletic
Potomac State College of West Virginia University,,"Keyser, West Virginia",1901,1924,1963,,West Virginia Intercollegiate Athletic
West Virginia University Institute of Technology,,"Montgomery, West Virginia[i]",1895,1924,2006,,West Virginia Intercollegiate Athletic
Salem University,,"Salem, West Virginia",1888,1924,2010,,West Virginia Intercollegiate Athletic
Boston University,Terriers,"Boston, MA",1839,1971,1996,,Yankee
University of Connecticut,Huskies,"Storrs, CT",1881,1946,1996,,Yankee
University of Delaware,Fightin' Blue Hens,"Newark, DE",1743,1986,1996,,Yankee
College of the Holy Cross,Crusaders,"Worcester, MA",1843,1971,1972,,Yankee
James Madison University,Dukes,"Harrisonburg, VA",1908,1993,1996,,Yankee
University of Maine,Black Bears,"Orono, ME",1865,1946,1996,,Yankee
University of Massachusetts Amherst,Aggies/Redmen/Minutemen,"Amherst, MA",1863,1946,1996,,Yankee
University of New Hampshire,Wildcats,"Durham, NH",1866,1946,1996,,Yankee
Northeastern University,Huskies,"Boston, MA",1898,1993,1996,,Yankee
University of Rhode Island,Rams,"Kingston, RI",1892,1946,1996,,Yankee
University of Richmond,Spiders,"Richmond, VA",1830,1986,1996,,Yankee
University of Vermont,Catamounts,"Burlington, VT",1791,1946,1996,,Yankee
Villanova University,Wildcats,"Villanova, PA",1842,1988,1996,,Yankee
The College of William & Mary,Tribe,"Williamsburg, VA",1693,1993,,,Yankee
